Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,12.85,0.19439676
BellmanFord,50,12.500000000000002,0.184852256
BellmanFord,100,14.579999999999998,0.205567932
BellmanFord,200,16.3,0.245789754
BellmanFord,300,26.099999999999998,0.369762464
BellmanFord,400,35.779999999999994,0.526462329
BellmanFord,500,43.25,0.632106836
BellmanFord,600,68.36,0.967462025
BellmanFord,700,88.46999999999998,1.293856917
BellmanFord,800,99.21000000000001,1.477045521
BellmanFord,900,114.85,1.669861898
BellmanFord,1000,143.68,2.098479109
BellmanFord,1500,15.11,0.213253348
BellmanFord,2000,15.76,0.231419623
BellmanFord,2500,17.89,0.267703039
BellmanFord,3000,20.44,0.289293937
BellmanFord,3500,23.34,0.339705865
BellmanFord,4000,27.6,0.407194053
BellmanFord,4500,30.529999999999998,0.438187825
BellmanFord,5000,37.98,0.549144182
BellmanFord,5500,41.24000000000001,0.598135109
BellmanFord,6000,50.61,0.729850938
BellmanFord,6500,69.13,1.003847853
BellmanFord,7000,66.36,0.974178504
BellmanFord,7500,76.47,1.121941998
BellmanFord,8000,81.59,1.186714504
BellmanFord,8500,87.83,1.279658516
BellmanFord,9000,95.84,1.40589524
BellmanFord,9500,109.39999999999999,1.597408146
BellmanFord,10000,120.57999999999998,1.753519382
