Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,10.87,0.182966118
BellmanFord,50,9.569999999999999,0.171154304
BellmanFord,100,12.39,0.204118139
BellmanFord,200,13.84,0.237540203
BellmanFord,300,22.59,0.35937853
BellmanFord,400,35.98,0.498653902
BellmanFord,500,35.519999999999996,0.590461462
BellmanFord,600,49.27,0.811298566
BellmanFord,700,61.919999999999995,1.001964235
BellmanFord,800,78.78999999999999,1.281272721
BellmanFord,900,95.35,1.517736802
BellmanFord,1000,115.09,1.885910075
BellmanFord,1500,12.009999999999998,0.20081461
BellmanFord,2000,12.28,0.214183636
BellmanFord,2500,13.600000000000001,0.239235916
BellmanFord,3000,16.29,0.273914602
BellmanFord,3500,18.450000000000003,0.318053654
BellmanFord,4000,21.0,0.362585308
BellmanFord,4500,24.68,0.420861901
BellmanFord,5000,28.83,0.493536047
BellmanFord,5500,33.050000000000004,0.559242781
BellmanFord,6000,38.34,0.647876565
BellmanFord,6500,47.65,0.794038959
BellmanFord,7000,52.519999999999996,0.87329113
BellmanFord,7500,60.61,1.015537271
BellmanFord,8000,63.28,1.062409225
BellmanFord,8500,91.92,1.253595395
BellmanFord,9000,103.85,1.363719818
BellmanFord,9500,85.0,1.422670517
BellmanFord,10000,94.77999999999999,1.600779998
