Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,13.999999999999998,0.197550902
BellmanFord,50,12.62,0.191141439
BellmanFord,100,15.73,0.225526933
BellmanFord,200,16.59,0.245172992
BellmanFord,300,25.85,0.370036014
BellmanFord,400,36.349999999999994,0.534867506
BellmanFord,500,43.739999999999995,0.642683367
BellmanFord,600,58.190000000000005,0.849561881
BellmanFord,700,75.63,1.095135859
BellmanFord,800,95.72000000000001,1.403794938
BellmanFord,900,112.3,1.637572725
BellmanFord,1000,140.70999999999998,2.049390698
BellmanFord,1500,15.11,0.219101992
BellmanFord,2000,15.459999999999999,0.225750046
BellmanFord,2500,18.22,0.267676147
BellmanFord,3000,20.82,0.30138299
BellmanFord,3500,22.599999999999998,0.331007351
BellmanFord,4000,29.03,0.433354903
BellmanFord,4500,30.4,0.442808615
BellmanFord,5000,38.739999999999995,0.562134201
BellmanFord,5500,44.8,0.652236644
BellmanFord,6000,50.11,0.732038798
BellmanFord,6500,60.529999999999994,0.879943487
BellmanFord,7000,66.94,0.97772388
BellmanFord,7500,75.30000000000001,1.096136744
BellmanFord,8000,84.94,1.229420135
BellmanFord,8500,91.00999999999999,1.328565562
BellmanFord,9000,98.02,1.437655402
BellmanFord,9500,109.35999999999999,1.593048634
BellmanFord,10000,122.42,1.783068449
