Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,30.729999999999997,0.266864612
BellmanFord,50,15.48,0.190443086
BellmanFord,100,18.61,0.228728029
BellmanFord,200,18.04,0.233353143
BellmanFord,300,24.99,0.357646254
BellmanFord,400,39.32000000000001,0.576313003
BellmanFord,500,42.56,0.625131587
BellmanFord,600,60.61,0.883272756
BellmanFord,700,75.98,1.107392074
BellmanFord,800,94.26,1.386778509
BellmanFord,900,112.76,1.661842547
BellmanFord,1000,140.31,2.031367992
BellmanFord,1500,16.650000000000002,0.243347817
BellmanFord,2000,15.24,0.222102357
BellmanFord,2500,17.849999999999998,0.25918593
BellmanFord,3000,20.410000000000004,0.295645064
BellmanFord,3500,23.55,0.345115958
BellmanFord,4000,26.98,0.391265851
BellmanFord,4500,30.840000000000003,0.449483799
BellmanFord,5000,38.62,0.559953941
BellmanFord,5500,43.830000000000005,0.639997531
BellmanFord,6000,49.65,0.730924336
BellmanFord,6500,59.47,0.860048149
BellmanFord,7000,65.19,0.941090364
BellmanFord,7500,73.69,1.074888757
BellmanFord,8000,80.73,1.188269873
BellmanFord,8500,96.57999999999998,1.374545226
BellmanFord,9000,98.6,1.47730626
BellmanFord,9500,107.27000000000001,1.56782642
BellmanFord,10000,119.85,1.731773559
