Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,10.58,0.173300837
BellmanFord,50,9.86,0.174593872
BellmanFord,100,10.950000000000001,0.186285884
BellmanFord,200,13.68,0.233860091
BellmanFord,300,21.31,0.332068298
BellmanFord,400,31.38,0.492430603
BellmanFord,500,36.86,0.607493165
BellmanFord,600,48.410000000000004,0.800349133
BellmanFord,700,62.24,1.011277824
BellmanFord,800,79.58,1.311024799
BellmanFord,900,96.02,1.549235283
BellmanFord,1000,139.47000000000003,1.933688466
BellmanFord,1500,16.66,0.211626181
BellmanFord,2000,17.13,0.220904838
BellmanFord,2500,19.76,0.261878226
BellmanFord,3000,19.48,0.288919236
BellmanFord,3500,18.360000000000003,0.319357855
BellmanFord,4000,20.58,0.357032514
BellmanFord,4500,24.03,0.414525415
BellmanFord,5000,29.53,0.501230775
BellmanFord,5500,32.64,0.560370057
BellmanFord,6000,38.81,0.654707968
BellmanFord,6500,51.989999999999995,0.825267984
BellmanFord,7000,52.25,0.853805649
BellmanFord,7500,60.699999999999996,0.989778092
BellmanFord,8000,64.86,1.064515455
BellmanFord,8500,69.21,1.150451583
BellmanFord,9000,76.98,1.287033979
BellmanFord,9500,85.56,1.435517653
BellmanFord,10000,99.58,1.618767061
