Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,14.299999999999999,0.179149986
BellmanFord,50,13.09,0.178516457
BellmanFord,100,21.549999999999997,0.242217796
BellmanFord,200,19.419999999999998,0.24108811
BellmanFord,300,29.009999999999998,0.344242241
BellmanFord,400,42.98,0.548325893
BellmanFord,500,50.57,0.629705911
BellmanFord,600,66.16,0.821752532
BellmanFord,700,88.85,1.08651965
BellmanFord,800,109.08,1.34319901
BellmanFord,900,134.59,1.635106393
BellmanFord,1000,161.1,1.946731168
BellmanFord,1500,16.73,0.205000389
BellmanFord,2000,18.18,0.227158922
BellmanFord,2500,18.669999999999998,0.244453736
BellmanFord,3000,21.5,0.287127001
BellmanFord,3500,26.360000000000003,0.328038601
BellmanFord,4000,29.86,0.367168607
BellmanFord,4500,34.67,0.425052124
BellmanFord,5000,42.03,0.555241297
BellmanFord,5500,46.72,0.60119
BellmanFord,6000,55.77,0.701321539
BellmanFord,6500,67.07000000000001,0.852795982
BellmanFord,7000,72.74,0.914742053
BellmanFord,7500,86.72,1.063070606
BellmanFord,8000,90.49000000000001,1.143670487
BellmanFord,8500,100.71,1.249876693
BellmanFord,9000,133.14000000000001,1.47003635
BellmanFord,9500,144.41000000000003,1.621807697
BellmanFord,10000,140.26,1.768823249
