Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,17.190000000000005,0.226981284
BellmanFord,50,14.07,0.204973741
BellmanFord,100,17.419999999999998,0.24868441
BellmanFord,200,18.88,0.27514193
BellmanFord,300,30.19,0.451878914
BellmanFord,400,47.19,0.678936265
BellmanFord,500,48.739999999999995,0.728874363
BellmanFord,600,61.08,0.898268493
BellmanFord,700,76.57,1.109680337
BellmanFord,800,102.19,1.487200238
BellmanFord,900,114.26,1.678176015
BellmanFord,1000,139.98,2.039013965
BellmanFord,1500,14.96,0.213294998
BellmanFord,2000,16.68,0.236949658
BellmanFord,2500,17.450000000000003,0.256533863
BellmanFord,3000,20.490000000000002,0.301984074
BellmanFord,3500,23.5,0.338067889
BellmanFord,4000,27.0,0.397571903
BellmanFord,4500,30.959999999999997,0.450562888
BellmanFord,5000,38.24,0.555891091
BellmanFord,5500,43.029999999999994,0.61606321
BellmanFord,6000,52.26,0.775935227
BellmanFord,6500,48.38,0.79809032
BellmanFord,7000,58.94,0.892527048
BellmanFord,7500,60.239999999999995,1.012920473
BellmanFord,8000,64.08,1.070983545
BellmanFord,8500,71.78999999999999,1.171082571
BellmanFord,9000,79.98,1.319990851
BellmanFord,9500,86.54,1.451824455
BellmanFord,10000,97.71000000000001,1.635988135
