Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,12.97,0.188021177
BellmanFord,50,12.69,0.188833226
BellmanFord,100,14.15,0.206023655
BellmanFord,200,16.98,0.251780299
BellmanFord,300,25.88,0.360620515
BellmanFord,400,36.440000000000005,0.546618727
BellmanFord,500,44.84,0.639498742
BellmanFord,600,59.269999999999996,0.86389584
BellmanFord,700,77.49,1.125239243
BellmanFord,800,100.53,1.480722736
BellmanFord,900,112.72999999999999,1.643588803
BellmanFord,1000,136.63000000000002,1.996388388
BellmanFord,1500,15.68,0.217214338
BellmanFord,2000,14.99,0.225124588
BellmanFord,2500,17.72,0.261073681
BellmanFord,3000,19.679999999999996,0.285949612
BellmanFord,3500,23.93,0.345533213
BellmanFord,4000,26.529999999999998,0.386815462
BellmanFord,4500,30.320000000000004,0.441774005
BellmanFord,5000,36.38,0.530928248
BellmanFord,5500,45.269999999999996,0.641125229
BellmanFord,6000,48.9,0.730053437
BellmanFord,6500,59.26,0.869744052
BellmanFord,7000,65.27,0.947723103
BellmanFord,7500,74.83,1.085768719
BellmanFord,8000,93.22000000000001,1.335480585
BellmanFord,8500,95.48,1.421836973
BellmanFord,9000,97.67,1.418139742
BellmanFord,9500,110.16,1.611306598
BellmanFord,10000,125.75,1.822616267
