Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,13.61,0.198131429
BellmanFord,50,12.69,0.183716832
BellmanFord,100,14.950000000000001,0.216643812
BellmanFord,200,17.03,0.24740649
BellmanFord,300,25.919999999999998,0.374179427
BellmanFord,400,37.50000000000001,0.556489041
BellmanFord,500,46.92,0.661454512
BellmanFord,600,58.68,0.868657254
BellmanFord,700,77.57000000000001,1.135895771
BellmanFord,800,98.24,1.432761329
BellmanFord,900,114.83,1.684845698
BellmanFord,1000,141.24,2.045999421
BellmanFord,1500,15.61,0.226015379
BellmanFord,2000,23.43,0.323009743
BellmanFord,2500,23.330000000000002,0.341548461
BellmanFord,3000,23.6,0.346373566
BellmanFord,3500,28.06,0.417371637
BellmanFord,4000,30.15,0.435984893
BellmanFord,4500,31.619999999999997,0.484423892
BellmanFord,5000,37.60999999999999,0.5470055
BellmanFord,5500,42.16,0.608928409
BellmanFord,6000,50.28,0.736971701
BellmanFord,6500,60.06,0.868243543
BellmanFord,7000,69.98,1.001744131
BellmanFord,7500,75.47,1.123045151
BellmanFord,8000,80.33,1.173856349
BellmanFord,8500,89.32000000000001,1.299425907
BellmanFord,9000,96.02000000000001,1.40589246
BellmanFord,9500,108.17,1.583642871
BellmanFord,10000,122.74000000000001,1.77744926
