Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,13.64,0.202153964
Dijkstra,50,13.870000000000001,0.202423694
Dijkstra,100,16.36,0.232835722
Dijkstra,200,16.05,0.237137101
Dijkstra,300,23.85,0.339703904
Dijkstra,400,31.090000000000003,0.462882893
Dijkstra,500,40.419999999999995,0.591756214
Dijkstra,600,52.69,0.770557807
Dijkstra,700,58.309999999999995,0.844739227
Dijkstra,800,82.2,1.204915896
Dijkstra,900,126.99000000000001,1.817497249
Dijkstra,1000,144.88,2.131824657
Dijkstra,1500,15.729999999999999,0.230285072
Dijkstra,2000,14.969999999999999,0.215584447
Dijkstra,2500,16.88,0.239240358
Dijkstra,3000,20.09,0.299205622
Dijkstra,3500,23.53,0.342557875
Dijkstra,4000,22.95,0.33596266
Dijkstra,4500,29.66,0.427086746
Dijkstra,5000,36.089999999999996,0.523817297
Dijkstra,5500,29.939999999999998,0.442366849
Dijkstra,6000,38.44,0.55539546
Dijkstra,6500,37.21,0.551644266
Dijkstra,7000,46.730000000000004,0.671945679
Dijkstra,7500,53.12,0.775205489
Dijkstra,8000,54.03,0.789888439
Dijkstra,8500,63.38,0.91747739
Dijkstra,9000,68.48,0.990956066
Dijkstra,9500,62.050000000000004,0.895789204
Dijkstra,10000,80.94,1.174411182
