Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,17.19,0.200894819
Dijkstra,50,14.54,0.185684447
Dijkstra,100,17.91,0.224270793
Dijkstra,200,20.7,0.260367664
Dijkstra,300,26.049999999999997,0.315256557
Dijkstra,400,39.07,0.469298423
Dijkstra,500,43.85000000000001,0.547586397
Dijkstra,600,61.39,0.748998082
Dijkstra,700,99.44,0.938631623
Dijkstra,800,119.42,1.206051668
Dijkstra,900,120.58,1.455466723
Dijkstra,1000,146.95999999999998,1.840402185
Dijkstra,1500,14.6,0.189475954
Dijkstra,2000,19.099999999999998,0.227493462
Dijkstra,2500,18.93,0.24125568
Dijkstra,3000,27.139999999999997,0.31813224
Dijkstra,3500,23.4,0.295946955
Dijkstra,4000,28.55,0.359449414
Dijkstra,4500,31.340000000000003,0.403207447
Dijkstra,5000,33.379999999999995,0.425351923
Dijkstra,5500,35.7,0.447563722
Dijkstra,6000,41.129999999999995,0.541043308
Dijkstra,6500,41.529999999999994,0.510699094
Dijkstra,7000,57.480000000000004,0.724625815
Dijkstra,7500,55.24,0.694079442
Dijkstra,8000,64.21,0.805756953
Dijkstra,8500,71.38999999999999,0.928576675
Dijkstra,9000,91.83,1.104041053
Dijkstra,9500,71.56,0.894992587
Dijkstra,10000,94.27000000000001,1.166986857
