Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,14.53,0.179281709
Dijkstra,50,15.43,0.189261132
Dijkstra,100,17.51,0.211815443
Dijkstra,200,20.229999999999997,0.246455041
Dijkstra,300,24.279999999999998,0.300741971
Dijkstra,400,36.38,0.439865782
Dijkstra,500,46.94,0.593865082
Dijkstra,600,61.49,0.732250102
Dijkstra,700,69.17999999999999,0.845170743
Dijkstra,800,102.16,1.216622691
Dijkstra,900,112.21,1.411806225
Dijkstra,1000,135.09,1.690647952
Dijkstra,1500,15.82,0.212180293
Dijkstra,2000,16.21,0.210715964
Dijkstra,2500,17.849999999999998,0.224752449
Dijkstra,3000,21.779999999999998,0.279705825
Dijkstra,3500,22.560000000000002,0.284046723
Dijkstra,4000,30.17,0.376851843
Dijkstra,4500,28.84,0.365398154
Dijkstra,5000,36.18,0.462495096
Dijkstra,5500,33.76,0.416244082
Dijkstra,6000,41.48,0.531259706
Dijkstra,6500,46.36,0.541409859
Dijkstra,7000,52.99,0.67495867
Dijkstra,7500,60.76,0.764096041
Dijkstra,8000,66.47,0.810195319
Dijkstra,8500,72.02000000000001,0.918960553
Dijkstra,9000,111.24,1.170050247
Dijkstra,9500,88.82000000000001,0.930225643
Dijkstra,10000,96.77,1.23465225
