Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,9.54,0.168734554
Dijkstra,50,9.719999999999999,0.169935068
Dijkstra,100,10.5,0.182378613
Dijkstra,200,13.190000000000001,0.223871644
Dijkstra,300,15.729999999999999,0.269161067
Dijkstra,400,22.64,0.382788851
Dijkstra,500,32.18,0.528543111
Dijkstra,600,43.12,0.690248359
Dijkstra,700,49.53,0.785889871
Dijkstra,800,63.699999999999996,1.057227777
Dijkstra,900,82.04,1.332524224
Dijkstra,1000,98.36,1.624274365
Dijkstra,1500,11.23,0.192001888
Dijkstra,2000,11.8,0.203045394
Dijkstra,2500,12.360000000000001,0.209611377
Dijkstra,3000,19.02,0.267433403
Dijkstra,3500,16.36,0.276854671
Dijkstra,4000,18.57,0.310399624
Dijkstra,4500,39.52,0.40539658
Dijkstra,5000,36.93,0.465835399
Dijkstra,5500,35.43000000000001,0.432918402
Dijkstra,6000,39.55,0.493843135
Dijkstra,6500,41.82,0.509338947
Dijkstra,7000,56.17,0.673447851
Dijkstra,7500,66.13,0.776120019
Dijkstra,8000,65.67,0.808836317
Dijkstra,8500,76.27,0.937240373
Dijkstra,9000,86.53,1.074789961
Dijkstra,9500,72.75,0.870465764
Dijkstra,10000,104.83,1.269538174
