Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,12.83,0.188349269
Dijkstra,50,12.32,0.181341122
Dijkstra,100,16.01,0.228624298
Dijkstra,200,17.61,0.2519216
Dijkstra,300,21.69,0.314872682
Dijkstra,400,30.44,0.442526576
Dijkstra,500,42.910000000000004,0.63313475
Dijkstra,600,51.45,0.754308704
Dijkstra,700,59.68,0.870901911
Dijkstra,800,84.38000000000001,1.229450444
Dijkstra,900,106.53,1.553739887
Dijkstra,1000,127.5,1.854200251
Dijkstra,1500,15.099999999999998,0.217323916
Dijkstra,2000,15.96,0.234218608
Dijkstra,2500,17.16,0.255203911
Dijkstra,3000,17.09,0.257178184
Dijkstra,3500,20.79,0.299659745
Dijkstra,4000,24.27,0.355555844
Dijkstra,4500,27.39,0.391443697
Dijkstra,5000,28.82,0.419732992
Dijkstra,5500,33.76,0.472380749
Dijkstra,6000,35.11,0.523460577
Dijkstra,6500,36.15,0.524423779
Dijkstra,7000,50.14000000000001,0.71936732
Dijkstra,7500,49.66,0.728629992
Dijkstra,8000,55.44,0.799734844
Dijkstra,8500,68.46,1.000620115
Dijkstra,9000,75.23,1.095345116
Dijkstra,9500,61.3,0.886939231
Dijkstra,10000,91.14999999999999,1.330052015
