Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,12.290000000000001,0.175945351
Dijkstra,50,14.24,0.204097256
Dijkstra,100,16.06,0.230119814
Dijkstra,200,18.51,0.26962978
Dijkstra,300,27.69,0.404900125
Dijkstra,400,31.16,0.465165784
Dijkstra,500,41.08,0.605064073
Dijkstra,600,50.25,0.726339117
Dijkstra,700,60.2,0.89396002
Dijkstra,800,87.58,1.269001856
Dijkstra,900,103.88,1.506963483
Dijkstra,1000,133.01000000000002,1.917577668
Dijkstra,1500,17.8,0.251028497
Dijkstra,2000,19.9,0.292485654
Dijkstra,2500,17.689999999999998,0.263107893
Dijkstra,3000,21.43,0.303859166
Dijkstra,3500,28.080000000000002,0.412853546
Dijkstra,4000,29.459999999999997,0.430449471
Dijkstra,4500,27.89,0.422731856
Dijkstra,5000,33.47,0.49213683
Dijkstra,5500,32.04,0.47113366
Dijkstra,6000,37.29,0.536695891
Dijkstra,6500,39.69,0.586377822
Dijkstra,7000,45.19,0.65506068
Dijkstra,7500,54.07,0.783204202
Dijkstra,8000,55.550000000000004,0.809863034
Dijkstra,8500,64.71,0.939689547
Dijkstra,9000,68.28999999999999,0.988550671
Dijkstra,9500,59.17,0.852501625
Dijkstra,10000,81.72,1.182816648
