Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,14.640000000000002,0.206215932
Dijkstra,50,15.73,0.223210013
Dijkstra,100,14.18,0.214012511
Dijkstra,200,16.21,0.240313072
Dijkstra,300,21.61,0.317480212
Dijkstra,400,31.9,0.46994506
Dijkstra,500,42.459999999999994,0.616904144
Dijkstra,600,52.4,0.765794936
Dijkstra,700,56.53,0.821288657
Dijkstra,800,84.0,1.232533435
Dijkstra,900,102.13,1.47766024
Dijkstra,1000,122.78,1.777515324
Dijkstra,1500,13.830000000000002,0.195087065
Dijkstra,2000,15.229999999999999,0.225324512
Dijkstra,2500,19.509999999999998,0.278042115
Dijkstra,3000,17.46,0.258367058
Dijkstra,3500,23.65,0.343882751
Dijkstra,4000,23.560000000000002,0.340187105
Dijkstra,4500,31.779999999999998,0.460884081
Dijkstra,5000,28.45,0.420528188
Dijkstra,5500,33.730000000000004,0.494439923
Dijkstra,6000,36.34,0.526501467
Dijkstra,6500,41.37,0.603204274
Dijkstra,7000,57.46999999999999,0.814232998
Dijkstra,7500,58.6,0.852783337
Dijkstra,8000,62.34,0.942808419
Dijkstra,8500,67.89,0.979960192
Dijkstra,9000,72.31,1.049812834
Dijkstra,9500,62.82,0.924932334
Dijkstra,10000,89.67,1.287117701
