Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,15.340000000000002,0.186847556
Dijkstra,50,14.9,0.195231853
Dijkstra,100,18.03,0.214236936
Dijkstra,200,17.32,0.227958243
Dijkstra,300,35.21,0.35133366
Dijkstra,400,38.349999999999994,0.456169146
Dijkstra,500,43.65,0.587063224
Dijkstra,600,55.06,0.81766666
Dijkstra,700,57.87,0.841455408
Dijkstra,800,83.56,1.214670996
Dijkstra,900,106.98,1.571663486
Dijkstra,1000,129.29000000000002,1.901815857
Dijkstra,1500,14.92,0.203357484
Dijkstra,2000,14.76,0.212919497
Dijkstra,2500,17.49,0.250249285
Dijkstra,3000,19.200000000000003,0.281989505
Dijkstra,3500,23.07,0.339331298
Dijkstra,4000,22.69,0.336415917
Dijkstra,4500,27.67,0.402116876
Dijkstra,5000,29.98,0.438211927
Dijkstra,5500,30.059999999999995,0.433539711
Dijkstra,6000,34.99,0.508822389
Dijkstra,6500,36.18,0.52622191
Dijkstra,7000,45.07000000000001,0.654132682
Dijkstra,7500,51.78,0.752410456
Dijkstra,8000,57.82,0.841677986
Dijkstra,8500,69.03,1.003805652
Dijkstra,9000,71.72999999999999,1.045914325
Dijkstra,9500,64.49000000000001,0.936184158
Dijkstra,10000,89.76,1.309413144
