Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,12.42,0.184513536
Dijkstra,50,12.879999999999999,0.188769492
Dijkstra,100,14.260000000000002,0.200011606
Dijkstra,200,17.78,0.263312421
Dijkstra,300,27.57,0.372411037
Dijkstra,400,38.35,0.567770402
Dijkstra,500,45.36,0.662042216
Dijkstra,600,52.83,0.777897825
Dijkstra,700,58.129999999999995,0.851606212
Dijkstra,800,81.32000000000001,1.177957618
Dijkstra,900,106.85000000000001,1.552867031
Dijkstra,1000,138.60000000000002,2.020907573
Dijkstra,1500,15.26,0.217209211
Dijkstra,2000,15.79,0.235971835
Dijkstra,2500,18.349999999999998,0.267134963
Dijkstra,3000,17.91,0.262297312
Dijkstra,3500,22.96,0.328182666
Dijkstra,4000,25.48,0.379399017
Dijkstra,4500,29.02,0.416252528
Dijkstra,5000,31.07,0.453918913
Dijkstra,5500,33.09,0.488984293
Dijkstra,6000,35.71,0.518604968
Dijkstra,6500,40.69,0.593444616
Dijkstra,7000,48.94,0.716864317
Dijkstra,7500,52.61,0.757251492
Dijkstra,8000,54.959999999999994,0.813509753
Dijkstra,8500,67.95,0.983189341
Dijkstra,9000,75.99,1.108029235
Dijkstra,9500,60.010000000000005,0.864785516
Dijkstra,10000,85.0,1.236766487
