Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,6.05,0.163908611
FloydWarshall,50,6.61,0.179168708
FloydWarshall,100,11.74,0.287836996
FloydWarshall,200,47.95,1.058665583
FloydWarshall,300,117.02,3.158147303
FloydWarshall,400,293.15000000000003,7.937468662
FloydWarshall,500,611.75,16.003337659
FloydWarshall,600,1106.6599999999999,28.223485596
FloydWarshall,700,1742.43,46.008561553
FloydWarshall,800,2634.63,67.583794914
FloydWarshall,900,3618.1,96.480410704
FloydWarshall,1000,6025.86,135.441975383
