Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,14.55,0.203604349
FloydWarshall,50,10.94,0.18955285
FloydWarshall,100,21.49,0.326057192
FloydWarshall,200,76.78,1.190218694
FloydWarshall,300,209.75,3.39805351
FloydWarshall,400,533.02,8.490987019
FloydWarshall,500,1070.8600000000001,16.857268495
FloydWarshall,600,1899.3,29.302353766
FloydWarshall,700,3446.3100000000004,48.060291646
FloydWarshall,800,4644.95,72.11174537
FloydWarshall,900,6735.549999999999,105.08223525
FloydWarshall,1000,5490.110000000001,136.653371889
