Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,6.81,0.171608841
FloydWarshall,50,6.76,0.179711501
FloydWarshall,100,12.4,0.297386768
FloydWarshall,200,47.09,1.106754266
FloydWarshall,300,121.39999999999999,3.212240921
FloydWarshall,400,290.19,7.718249324
FloydWarshall,500,582.8199999999999,15.51308008
FloydWarshall,600,1151.72,27.876007039
FloydWarshall,700,1800.92,45.566210128
FloydWarshall,800,2712.29,67.389422145
FloydWarshall,900,3896.81,98.498952288
FloydWarshall,1000,5373.370000000001,136.745305284
