Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,7.870000000000001,0.175605952
FloydWarshall,50,7.660000000000001,0.19169741
FloydWarshall,100,13.83,0.316634116
FloydWarshall,200,48.64,1.141553983
FloydWarshall,300,143.23000000000002,3.490857435
FloydWarshall,400,320.90000000000003,8.113961121
FloydWarshall,500,662.2,16.196019424
FloydWarshall,600,1139.38,28.267743462
FloydWarshall,700,1633.1999999999998,44.516048512
FloydWarshall,800,2427.37,66.771711881
FloydWarshall,900,3810.3599999999997,97.402940439
FloydWarshall,1000,5405.5,137.0838811
