Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,6.15,0.162571677
FloydWarshall,50,6.87,0.180048586
FloydWarshall,100,11.89,0.28607724
FloydWarshall,200,59.78,1.209451085
FloydWarshall,300,161.55,3.501458667
FloydWarshall,400,292.86,7.819285962
FloydWarshall,500,660.9399999999999,16.125111366
FloydWarshall,600,1146.5400000000002,28.152337628
FloydWarshall,700,2192.26,45.506222936
FloydWarshall,800,3650.7400000000002,72.234358255
FloydWarshall,900,8282.630000000001,112.968331505
FloydWarshall,1000,8935.45,147.977037624
