Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,9.1,0.190595663
FloydWarshall,50,8.11,0.190871958
FloydWarshall,100,11.92,0.292016944
FloydWarshall,200,50.91,1.175786213
FloydWarshall,300,134.65,3.374022397
FloydWarshall,400,294.45,7.962761362
FloydWarshall,500,741.96,16.552873315
FloydWarshall,600,1135.4699999999998,28.073369123
FloydWarshall,700,1767.26,45.507855614
FloydWarshall,800,3695.4500000000003,71.242810155
FloydWarshall,900,5689.660000000001,101.536776713
FloydWarshall,1000,5554.99,136.014923427
