Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,6.04,0.160682449
FloydWarshall,50,6.81,0.179407229
FloydWarshall,100,10.269999999999998,0.280272642
FloydWarshall,200,40.75,1.035041048
FloydWarshall,300,113.07000000000001,3.11893453
FloydWarshall,400,272.26000000000005,7.716373645
FloydWarshall,500,604.54,15.906327011
FloydWarshall,600,997.97,32.798560551
FloydWarshall,700,1506.98,47.419691534
FloydWarshall,800,2266.42,71.616216157
FloydWarshall,900,3273.52,103.072809086
FloydWarshall,1000,4492.55,142.917866958
