Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,5.989999999999999,0.161772441
FloydWarshall,50,6.8,0.17622595
FloydWarshall,100,13.55,0.302332919
FloydWarshall,200,47.239999999999995,1.087947375
FloydWarshall,300,139.07000000000002,3.323148332
FloydWarshall,400,350.93,8.299379954
FloydWarshall,500,704.48,16.239252816
FloydWarshall,600,1089.2700000000002,28.338323525
FloydWarshall,700,1782.01,45.342346956
FloydWarshall,800,2460.6800000000003,66.232675327
FloydWarshall,900,3516.56,94.462127273
FloydWarshall,1000,4941.570000000001,130.074358801
