Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,6.04,0.165583981
FloydWarshall,50,6.829999999999999,0.179230047
FloydWarshall,100,10.329999999999998,0.279259386
FloydWarshall,200,39.62,1.048692072
FloydWarshall,300,120.85,3.080051127
FloydWarshall,400,325.86,7.767418347
FloydWarshall,500,559.4900000000001,15.379310432
FloydWarshall,600,1076.07,27.370301596
FloydWarshall,700,1754.24,44.690026629
FloydWarshall,800,2948.89,68.866928613
FloydWarshall,900,3947.08,98.016019359
FloydWarshall,1000,4993.66,133.771005941
